fund_name,cik,company,ticker,cusip,shares,value,weight,ownership,date,filing_date,industry
Avoro Capital Advisors LLC,0001633313,UNITED THERAPEUTICS CORP,UTHR,91307C102,2760300,973944252,13.7758,6.189,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,ARGENX SE,ARGX,04016X101,1238467,761657205,10.7731,2.0611,2024-12-31,2025-02-14,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,ASCENDIS PHARMA,ASND,04351P101,5103055,702537582,9.9369,8.8148,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,MADRIGAL PHARMACEUTICALS INC,MDGL,558868105,2029000,626088530,8.8556,9.3305,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,KRYSTAL BIOTECH INC,KRYS,501147102,2628822,411831255,5.8251,9.1546,2024-12-31,2025-02-14,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,APELLIS PHARMACEUTICALS INC.,APLS,03753U106,12222222,390011104,5.5164,9.8643,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,SAREPTA THERAPEUTICS INC,SRPT,803607100,2555555,310729932,4.3951,2.6791,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,INTRA-CELLULAR THERAPIES INC,ITCI,46116X101,3050000,254736000,3.6031,2.8837,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,VERA THERAPEUTICS INC,VERA,92337R101,5610000,237246900,3.3557,10.2189,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,XENON PHARMACEUTICALS INC,XENE,98420N105,5666666,222133307,3.1419,7.2718,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,AMICUS THERAPEUTICS INC.,FOLD,03152W109,23175000,218308500,3.0878,7.6061,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,AVIDITY BIOSCIENCES INC,RNA,05370A108,7500000,218100000,3.0849,6.079,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,ARROWHEAD PHARMACEUTICALS INC.,ARWR,04280A100,11111111,208888887,2.9546,9.276,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,KYMERA THERAPEUTICS INC,KYMR,501575104,5150000,207184500,2.9305,6.7651,2024-12-31,2025-02-14,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,MOONLAKE IMMUNOTHERAPEUTICS,MLTX,61559X104,2770100,150000915,2.1217,4.4042,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,SOLENO THERAPEUTICS INC,SLNO,834203309,2525000,113498750,1.6054,6.0293,2024-12-31,2025-02-14,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
Avoro Capital Advisors LLC,0001633313,BLUEPRINT MEDICINES CORP,BPMC,09627Y109,1185000,103355700,1.4619,1.8696,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,VAXCYTE INC,PCVX,92243G108,1175000,96185500,1.3605,0.9499,2024-12-31,2025-02-14,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,1462500,96130125,1.3597,0.768,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,MERUS N V,MRUS,N5749R100,2125000,89356250,1.2639,3.1134,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,BIOCRYST PHARMACEUTICALS INC,BCRX,09058V103,11865000,89224800,1.262,5.7345,2024-12-31,2025-02-14,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,ALKERMES PLC,ALKS,G01767105,2450000,70462000,0.9966,1.4997,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,OCULAR THERAPEUTIX INC,OCUL,67576A100,8060000,68832400,0.9736,4.8266,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,MANNKIND CORP,MNKD,56400P706,8750000,56262500,0.7958,3.1818,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,TOURMALINE BIO INC,TRML,89157D105,2222222,45066662,0.6374,8.6243,2024-12-31,2025-02-14,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,UNIQURE NV,QURE,N90064101,2175000,38410500,0.5433,4.4644,2024-12-31,2025-02-14,PHARMACEUTICAL PREPARATIONS
